,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
0,GGG,2014B,618349,F,Ireland,Lower Than A Level,,0-35,1,30,N,Withdrawn
1,DDD,2013B,561716,M,North Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
2,BBB,2014B,629891,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
3,DDD,2013J,595655,F,Yorkshire Region,HE Qualification,0-10%,35-55,0,120,N,Withdrawn
4,EEE,2013J,572744,M,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Distinction
5,DDD,2014J,654338,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass
6,BBB,2014B,605338,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail
7,BBB,2013J,594828,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,150,N,Withdrawn
8,FFF,2013J,587603,M,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Fail
9,FFF,2014B,582677,M,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass
10,BBB,2014B,579359,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
11,DDD,2013J,605118,M,North Western Region,Lower Than A Level,50-60%,0-35,1,60,Y,Pass
12,EEE,2014J,595182,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass
13,BBB,2013B,542199,F,East Anglian Region,Lower Than A Level,10-20,0-35,0,60,N,Fail
14,BBB,2014J,641676,F,Scotland,A Level or Equivalent,60-70%,0-35,0,120,N,Fail
15,DDD,2014B,612688,M,Wales,Lower Than A Level,60-70%,0-35,0,60,N,Fail
16,DDD,2013B,467688,M,London Region,HE Qualification,40-50%,0-35,0,60,N,Pass
17,FFF,2013J,598761,M,South Region,A Level or Equivalent,80-90%,0-35,0,120,Y,Withdrawn
18,DDD,2013J,546191,M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn
19,BBB,2013J,598592,F,London Region,Lower Than A Level,70-80%,0-35,1,30,Y,Withdrawn
20,FFF,2013J,596563,M,North Region,Lower Than A Level,,35-55,1,120,N,Fail
21,FFF,2013J,2377404,M,Scotland,Lower Than A Level,50-60%,0-35,1,60,N,Withdrawn
22,FFF,2014J,686354,M,Wales,HE Qualification,80-90%,35-55,0,120,N,Pass
23,FFF,2014J,677777,M,South West Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn
24,BBB,2014J,677126,M,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
25,FFF,2013J,598649,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
26,CCC,2014B,605392,M,South West Region,A Level or Equivalent,90-100%,0-35,0,90,Y,Withdrawn
27,FFF,2014J,684653,M,East Anglian Region,HE Qualification,70-80%,0-35,0,60,N,Pass
28,DDD,2013J,568750,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
29,FFF,2014J,687367,M,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
30,DDD,2014J,148914,M,North Western Region,A Level or Equivalent,50-60%,35-55,0,90,N,Pass
31,BBB,2014J,599435,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Distinction
32,BBB,2013J,479457,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail
33,DDD,2014J,614171,M,South Region,HE Qualification,30-40%,0-35,0,60,N,Pass
34,CCC,2013J,579512,M,West Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction
35,FFF,2013J,612333,M,Scotland,A Level or Equivalent,60-70%,0-35,0,90,N,Fail
36,DDD,2013J,567954,F,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass
37,BBB,2014B,612001,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
38,BBB,2013J,563789,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
39,CCC,2014J,586370,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn
40,FFF,2014J,554568,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
41,FFF,2013J,647862,M,North Western Region,Lower Than A Level,90-100%,0-35,0,60,N,Fail
42,CCC,2014B,619306,M,South East Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
43,EEE,2014J,598201,M,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
44,BBB,2014J,695010,F,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
45,BBB,2013J,569281,F,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
46,BBB,2014B,613253,M,South East Region,HE Qualification,70-80%,35-55,0,60,N,Pass
47,FFF,2014J,560784,F,North Region,Lower Than A Level,,35-55,0,120,N,Distinction
