,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
0,FFF,2014J,650166,M,North Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn
1,DDD,2013B,645885,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
2,BBB,2014J,679314,F,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
3,BBB,2014J,599441,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
4,FFF,2014J,626354,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction
5,DDD,2014J,536110,M,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass
6,DDD,2014J,595296,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail
7,CCC,2014B,554998,M,Ireland,A Level or Equivalent,20-30%,35-55,0,120,N,Withdrawn
8,DDD,2014B,566280,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
9,EEE,2014B,647265,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
10,BBB,2014J,243639,F,Ireland,HE Qualification,20-30%,35-55,0,120,N,Pass
11,EEE,2013J,527450,M,North Region,A Level or Equivalent,,0-35,0,120,N,Pass
12,EEE,2014J,688161,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
13,GGG,2014J,647246,F,South West Region,A Level or Equivalent,70-80%,0-35,0,30,N,Fail
14,DDD,2013J,154595,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Fail
15,FFF,2014J,588865,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
16,GGG,2014B,647403,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass
17,BBB,2014J,646382,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Withdrawn
18,FFF,2014B,599086,F,Scotland,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
19,DDD,2014B,626283,M,Wales,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
20,DDD,2013B,617383,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Fail
21,FFF,2013J,682498,F,South West Region,Lower Than A Level,90-100%,35-55,0,60,N,Withdrawn
22,CCC,2013J,650440,F,South Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
23,CCC,2014B,611459,F,North Western Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn
24,FFF,2014J,654407,M,East Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
25,FFF,2013J,577486,M,London Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
