,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
0,DDD,2014J,349441,M,Wales,Lower Than A Level,10-20,0-35,2,178,N,Fail
1,BBB,2013J,594345,F,South Region,Lower Than A Level,90-100%,0-35,0,59,N,Fail
2,GGG,2014J,515964,M,East Anglian Region,Lower Than A Level,0-10%,0-35,0,30,N,Fail
3,CCC,2014J,1553583,M,Scotland,HE Qualification,20-30%,0-35,0,59,N,Fail
4,EEE,2013J,580418,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,30,Y,Fail
5,CCC,2014J,666079,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,59,Y,Distinction
6,AAA,2013B,160909,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail
7,DDD,2013J,581677,F,London Region,A Level or Equivalent,40-50%,35-55,0,119,N,Fail
8,DDD,2013J,506732,M,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
9,DDD,2013J,482716,F,Scotland,A Level or Equivalent,70-80%,0-35,0,120,N,Withdrawn
10,DDD,2013B,525748,M,South West Region,Lower Than A Level,20-30%,0-35,1,60,Y,Pass
11,DDD,2014J,2418569,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,90,Y,Fail
12,FFF,2014J,647382,M,North Western Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
13,BBB,2014J,540849,F,Wales,HE Qualification,50-60%,0-35,0,59,N,Fail
14,FFF,2014J,603320,M,South East Region,Lower Than A Level,30-40%,0-35,0,89,N,Withdrawn
15,GGG,2014J,95732,M,West Midlands Region,Post Graduate Qualification,40-50%,35-55,0,30,Y,Withdrawn
16,CCC,2014J,605102,M,East Midlands Region,Lower Than A Level,0-10%,55<=,1,30,N,Fail
17,DDD,2014J,132002,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
18,GGG,2013J,158774,M,London Region,A Level or Equivalent,90-100%,35-55,0,222,N,Pass
19,DDD,2014J,586508,M,Wales,A Level or Equivalent,40-50%,0-35,0,59,Y,Withdrawn
20,BBB,2013J,289274,F,South East Region,A Level or Equivalent,0-10%,0-35,1,119,N,Withdrawn
21,BBB,2013B,480986,F,Ireland,A Level or Equivalent,40-50%,0-35,1,120,N,Withdrawn
22,FFF,2013B,148350,F,West Midlands Region,Lower Than A Level,40-50%,0-35,1,120,Y,Fail
23,CCC,2014B,509173,M,Wales,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn
24,DDD,2014B,527421,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
25,FFF,2013J,462905,M,East Midlands Region,Lower Than A Level,70-80%,0-35,0,59,N,Fail
26,BBB,2013B,492834,M,South East Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn
27,DDD,2014B,349985,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,1,90,N,Fail
28,FFF,2014J,613207,M,East Midlands Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn
29,DDD,2013B,450731,M,South West Region,Lower Than A Level,60-70%,0-35,1,120,N,Fail
30,FFF,2013B,506437,M,South East Region,A Level or Equivalent,90-100%,35-55,0,120,N,Pass
31,BBB,2014J,579538,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,59,N,Withdrawn
32,GGG,2014B,640393,F,West Midlands Region,Lower Than A Level,80-90%,0-35,0,30,N,Fail
33,DDD,2013J,517400,M,South Region,Lower Than A Level,90-100%,0-35,0,59,N,Pass
34,DDD,2013J,611594,M,North Western Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction
35,BBB,2014J,554612,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
36,GGG,2014J,2474056,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,30,N,Distinction
37,FFF,2013B,498005,F,South West Region,A Level or Equivalent,60-70%,0-35,0,59,N,Pass
38,GGG,2014J,659251,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,89,N,Pass
39,BBB,2014B,363094,F,South Region,HE Qualification,90-100%,35-55,0,90,N,Fail
40,DDD,2013J,342739,F,Scotland,HE Qualification,90-100%,0-35,0,60,N,Distinction
41,CCC,2014J,575328,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,89,N,Fail
42,DDD,2013J,561979,M,South East Region,Lower Than A Level,90-100%,0-35,0,59,N,Withdrawn
43,BBB,2014J,251043,M,Scotland,HE Qualification,80-90%,35-55,0,59,Y,Pass
44,DDD,2013J,541348,M,London Region,Lower Than A Level,60-70%,0-35,0,149,N,Pass
45,DDD,2013B,564365,M,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
46,BBB,2014J,542312,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
47,BBB,2014B,2312184,M,North Region,A Level or Equivalent,70-80%,35-55,0,59,N,Withdrawn
48,CCC,2014J,676268,M,Scotland,Post Graduate Qualification,60-70%,35-55,0,59,N,Distinction
49,BBB,2013J,517372,F,South Region,Lower Than A Level,80-90%,0-35,0,59,N,Pass
50,CCC,2014B,478720,M,East Anglian Region,HE Qualification,70-80%,0-35,0,179,N,Distinction
51,EEE,2014B,521958,M,South West Region,Lower Than A Level,20-30%,35-55,0,59,N,Withdrawn
52,EEE,2013J,511845,M,South West Region,A Level or Equivalent,30-40%,0-35,0,180,N,Pass
53,BBB,2013J,2192647,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
54,FFF,2013B,284081,M,East Anglian Region,A Level or Equivalent,30-40%,35-55,0,149,Y,Pass
55,CCC,2014B,561832,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,30,N,Withdrawn
56,DDD,2013J,474018,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,Y,Withdrawn
57,FFF,2014B,1721726,F,Ireland,Lower Than A Level,10-20,0-35,0,363,Y,Pass
58,DDD,2014J,661135,F,South Region,Lower Than A Level,0-10%,0-35,0,119,N,Fail
59,BBB,2014J,610428,M,West Midlands Region,Lower Than A Level,50-60%,0-35,0,90,N,Pass
60,DDD,2014B,313669,M,North Western Region,A Level or Equivalent,0-10%,0-35,1,120,Y,Pass
61,FFF,2014B,598571,F,North Region,HE Qualification,20-30%,35-55,0,119,N,Withdrawn
62,DDD,2014J,603111,F,South West Region,Lower Than A Level,30-40%,0-35,0,59,N,Pass
63,BBB,2014J,595805,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
64,BBB,2013B,516138,F,South West Region,Lower Than A Level,80-90%,0-35,0,119,N,Withdrawn
65,DDD,2014B,595050,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Distinction
66,EEE,2014J,588438,F,Wales,HE Qualification,30-40%,0-35,0,59,N,Pass
67,EEE,2013J,576268,M,Wales,HE Qualification,10-20,35-55,0,90,N,Fail
68,DDD,2013J,2442614,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,1,90,N,Withdrawn
69,DDD,2013J,493682,M,Scotland,A Level or Equivalent,90-100%,0-35,0,59,Y,Withdrawn
70,CCC,2014B,454229,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,149,Y,Withdrawn
71,CCC,2014J,625100,M,South West Region,A Level or Equivalent,10-20,0-35,0,180,Y,Pass
72,BBB,2013J,70004,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,Fail
73,FFF,2013J,481195,M,Ireland,Lower Than A Level,0-10%,0-35,0,59,N,Pass
74,FFF,2013B,516201,M,South Region,Lower Than A Level,50-60%,0-35,0,59,N,Pass
75,DDD,2013J,536421,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
76,BBB,2014B,2183936,F,Scotland,A Level or Equivalent,50-60%,0-35,0,120,N,Fail
77,BBB,2014J,617670,F,East Anglian Region,HE Qualification,20-30%,0-35,0,221,N,Fail
78,GGG,2014J,2458781,M,South West Region,A Level or Equivalent,70-80%,0-35,1,30,Y,Distinction
79,FFF,2014J,1357844,F,Scotland,Lower Than A Level,30-40%,35-55,0,90,Y,Withdrawn
80,DDD,2013J,461398,M,Scotland,Lower Than A Level,90-100%,0-35,0,90,N,Pass
81,GGG,2014J,622065,F,South Region,Lower Than A Level,60-70%,0-35,0,30,N,Pass
82,DDD,2013J,548656,F,North Western Region,Lower Than A Level,60-70%,35-55,0,90,N,Fail
83,FFF,2013J,627798,F,South West Region,Lower Than A Level,20-30%,55<=,0,60,N,Fail
84,DDD,2013J,1437281,M,North Western Region,HE Qualification,90-100%,0-35,0,59,N,Pass
85,FFF,2013J,81741,M,South West Region,Lower Than A Level,70-80%,0-35,0,350,N,Pass
86,FFF,2014J,572219,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,149,N,Withdrawn
87,CCC,2014J,632874,M,South West Region,A Level or Equivalent,40-50%,0-35,0,90,N,Withdrawn
88,AAA,2014J,1681160,M,Wales,A Level or Equivalent,70-80%,35-55,0,90,N,Withdrawn
89,BBB,2013J,2259264,F,Scotland,A Level or Equivalent,20-30%,0-35,0,30,N,Pass
90,FFF,2013J,597732,M,London Region,A Level or Equivalent,30-40%,35-55,0,120,Y,Withdrawn
91,CCC,2014B,569806,M,London Region,Lower Than A Level,70-80%,0-35,0,30,N,Fail
92,BBB,2014J,599706,F,West Midlands Region,HE Qualification,10-20,35-55,1,90,N,Pass
93,FFF,2014B,540143,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
94,GGG,2014J,503645,M,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,30,Y,Pass
95,DDD,2014J,638790,F,Ireland,A Level or Equivalent,40-50%,0-35,0,89,N,Distinction
96,FFF,2013B,511198,M,Scotland,A Level or Equivalent,0-10%,0-35,0,119,N,Withdrawn
97,EEE,2014J,633115,F,South Region,Lower Than A Level,60-70%,35-55,0,90,N,Pass
98,CCC,2014B,448578,M,London Region,HE Qualification,20-30%,0-35,0,74,N,Pass
99,BBB,2014B,542289,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
100,GGG,2014B,503166,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,30,N,Pass
101,DDD,2014J,2397940,M,London Region,HE Qualification,60-70%,35-55,0,59,N,Pass
102,FFF,2013J,548455,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
103,FFF,2014J,644112,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,90,Y,Withdrawn
104,BBB,2014B,499736,M,London Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
105,DDD,2014J,455595,M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,59,N,Withdrawn
106,DDD,2013J,310794,F,South East Region,HE Qualification,20-30%,35-55,0,90,N,Pass
107,FFF,2014J,617951,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,89,N,Fail
108,GGG,2014B,563177,F,East Anglian Region,Lower Than A Level,10-20,0-35,0,179,Y,Fail
109,BBB,2014B,508872,M,South West Region,Lower Than A Level,30-40%,0-35,0,59,N,Fail
110,FFF,2014J,521919,M,Wales,A Level or Equivalent,90-100%,35-55,1,60,N,Withdrawn
111,FFF,2013B,573266,F,North Western Region,Lower Than A Level,0-10%,35-55,0,59,N,Distinction
112,CCC,2014J,610797,M,East Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail
113,DDD,2014J,605440,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,59,N,Pass
114,DDD,2014J,284729,F,North Western Region,Lower Than A Level,0-10%,35-55,0,59,N,Withdrawn
115,DDD,2013J,518346,M,Scotland,HE Qualification,90-100%,0-35,0,60,N,Pass
116,EEE,2013J,553553,M,South West Region,A Level or Equivalent,20-30%,35-55,0,30,N,Fail
117,EEE,2013J,1586629,M,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
118,FFF,2013J,426022,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail
119,EEE,2014J,579367,M,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Pass
120,CCC,2014J,614083,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Withdrawn
121,BBB,2014J,593589,F,London Region,HE Qualification,20-30%,35-55,0,59,N,Fail
122,FFF,2013J,465097,M,Scotland,HE Qualification,50-60%,35-55,0,59,N,Pass
123,GGG,2014B,514831,F,East Anglian Region,Lower Than A Level,40-50%,0-35,1,30,N,Fail
124,GGG,2014J,512393,M,London Region,Lower Than A Level,0-10%,0-35,0,30,N,Fail
125,BBB,2013B,240889,F,Wales,A Level or Equivalent,20-30%,0-35,0,119,N,Fail
126,DDD,2014J,260590,M,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Fail
127,FFF,2013J,2163105,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
128,FFF,2014B,480741,M,South West Region,Lower Than A Level,0-10%,0-35,1,119,N,Withdrawn
129,DDD,2014J,608720,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
130,EEE,2013J,548207,M,South East Region,A Level or Equivalent,90-100%,0-35,0,59,N,Fail
131,CCC,2014B,554998,M,West Midlands Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn
132,DDD,2014B,497741,M,Scotland,Lower Than A Level,0-10%,0-35,1,60,N,Fail
133,BBB,2014J,315733,M,South Region,A Level or Equivalent,90-100%,35-55,1,90,N,Pass
134,FFF,2014J,637562,M,South East Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
135,FFF,2013J,289737,M,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,89,N,Pass
136,DDD,2013J,449045,M,East Anglian Region,HE Qualification,10-20,0-35,0,59,N,Pass
137,FFF,2013J,492078,M,South West Region,Lower Than A Level,50-60%,0-35,0,119,N,Withdrawn
138,BBB,2014J,624042,F,London Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
139,FFF,2013J,280982,M,Wales,A Level or Equivalent,30-40%,0-35,0,119,N,Withdrawn
140,DDD,2013J,529062,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0,119,N,Withdrawn
141,CCC,2014B,299049,M,Wales,Lower Than A Level,90-100%,0-35,1,60,N,Pass
142,EEE,2014B,579476,F,South West Region,HE Qualification,50-60%,35-55,0,60,N,Pass
143,GGG,2014B,565071,F,South West Region,Lower Than A Level,80-90%,0-35,0,30,N,Fail
144,GGG,2013J,535719,F,London Region,A Level or Equivalent,80-90%,35-55,0,30,N,Pass
145,BBB,2013J,1550250,F,Scotland,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn
146,EEE,2014B,516528,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,59,N,Pass
147,CCC,2014B,554290,M,Scotland,Lower Than A Level,10-20,0-35,0,30,N,Fail
148,EEE,2014B,2429270,M,Wales,Lower Than A Level,60-70%,0-35,0,60,N,Pass
149,DDD,2013J,464064,M,Scotland,Lower Than A Level,30-40%,0-35,0,148,Y,Fail
150,BBB,2014B,1683980,F,Scotland,HE Qualification,70-80%,35-55,0,59,N,Pass
151,BBB,2013B,488752,F,East Anglian Region,Lower Than A Level,50-60%,0-35,1,60,Y,Pass
152,DDD,2013J,496015,F,Wales,No Formal quals,50-60%,35-55,0,60,N,Fail
153,DDD,2013J,548054,M,South East Region,Lower Than A Level,80-90%,0-35,0,89,N,Fail
154,CCC,2013J,550870,M,South West Region,Lower Than A Level,50-60%,0-35,0,59,N,Withdrawn
155,FFF,2014J,591871,F,North Region,A Level or Equivalent,10-20,0-35,1,59,N,Fail
156,EEE,2014J,587730,M,East Anglian Region,A Level or Equivalent,10-20,35-55,1,90,N,Fail
157,FFF,2014J,640947,M,Ireland,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
158,FFF,2013B,529553,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,1,120,Y,Pass
159,GGG,2014J,556380,M,East Anglian Region,HE Qualification,80-90%,0-35,0,30,N,Distinction
160,BBB,2013J,501390,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
161,FFF,2013J,585737,M,Scotland,HE Qualification,90-100%,35-55,0,119,N,Pass
162,EEE,2013B,324620,M,South West Region,A Level or Equivalent,60-70%,35-55,1,90,N,Distinction
163,FFF,2013J,258688,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn
164,GGG,2014B,574175,F,South East Region,Lower Than A Level,80-90%,0-35,0,30,N,Fail
165,CCC,2014J,584738,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn
