,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
0,BBB,2014J,598819,F,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn
1,FFF,2013J,588753,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn
2,CCC,2014B,587783,M,South East Region,Lower Than A Level,70-80%,35-55,0,90,N,Pass
3,BBB,2014J,694705,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
4,BBB,2014J,696324,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Distinction
5,BBB,2013J,592713,F,South Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
6,FFF,2013J,483117,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
7,CCC,2014J,645495,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
8,DDD,2013J,467753,M,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
9,BBB,2013J,605488,F,South Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
10,DDD,2014J,675002,M,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
11,EEE,2014B,633590,M,South East Region,Lower Than A Level,80-90%,0-35,0,30,N,Pass
12,DDD,2013B,575763,M,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Pass
13,FFF,2014J,689130,M,North Western Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail
14,BBB,2014B,622392,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail
15,GGG,2014B,617382,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,N,Fail
16,BBB,2013J,598420,F,North Region,Lower Than A Level,,0-35,0,60,N,Pass
17,DDD,2014J,492049,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
18,EEE,2014B,612135,M,North Region,Lower Than A Level,0-10%,0-35,0,60,Y,Withdrawn
19,CCC,2014B,637473,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Withdrawn
20,CCC,2014J,626442,M,South West Region,A Level or Equivalent,50-60%,35-55,0,180,N,Fail
21,BBB,2014J,678267,F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn
22,BBB,2014J,650531,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
23,FFF,2013B,535109,M,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn
24,BBB,2014B,617781,F,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn
25,EEE,2013J,588493,M,South East Region,HE Qualification,90-100%,0-35,0,60,N,Withdrawn
26,DDD,2014J,644790,F,Wales,HE Qualification,40-50%,35-55,0,120,N,Withdrawn
27,DDD,2014B,612127,M,London Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
28,BBB,2014J,692544,F,South East Region,A Level or Equivalent,90-100%,0-35,0,150,N,Pass
29,FFF,2013J,569625,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Fail
30,BBB,2013J,607609,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail
31,DDD,2013B,548602,M,South West Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass
32,FFF,2013B,464740,M,London Region,HE Qualification,20-30%,0-35,0,120,N,Distinction
33,FFF,2013B,548774,M,Ireland,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
34,BBB,2013B,531522,F,East Anglian Region,HE Qualification,80-90%,0-35,0,60,N,Pass
35,BBB,2014J,490152,F,East Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Distinction
36,DDD,2014B,624354,F,South Region,Lower Than A Level,50-60%,0-35,0,90,N,Fail
37,FFF,2013J,573573,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,1,120,N,Pass
38,GGG,2014J,648126,F,London Region,A Level or Equivalent,30-40%,0-35,0,30,N,Fail
39,BBB,2014J,634776,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Fail
40,CCC,2014B,630870,M,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn
41,CCC,2014B,306833,M,London Region,Lower Than A Level,20-30%,35-55,0,90,N,Pass
42,FFF,2013J,588752,M,South Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail
43,DDD,2014J,684663,F,Scotland,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
44,FFF,2014J,675116,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
45,FFF,2013J,609229,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,90,N,Fail
46,BBB,2013J,576233,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
47,CCC,2014J,1620151,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
48,CCC,2014J,633450,M,North Western Region,HE Qualification,70-80%,0-35,0,60,N,Distinction
49,BBB,2013B,543155,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Distinction
50,GGG,2013J,572168,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,30,N,Withdrawn
51,CCC,2014B,565261,F,Scotland,HE Qualification,10-20,35-55,0,60,N,Fail
